"gene" "mitochondrial_source"
"ATP8" "Co-annotation + MC-20"
"ATPAF1" "mitocarta-3"
"ATPAF2" "mitocarta-3"
"ATPSCKMT" "mitocarta-3"
"AUH" "mitocarta-3"
"AURKAIP1" "both"
"BAD" "both"
"BAK1" "mitocarta-3"
"BAX" "mitocarta-3"
"BBC3" "mitocarta-3"
"BCAT2" "mitocarta-3"
"BCKDHA" "mitocarta-3"
"BCKDHB" "mitocarta-3"
"BCKDK" "mitocarta-3"
"BCL2" "mitocarta-3"
"BCL2A1" "mitocarta-3"
"BCL2L1" "mitocarta-3"
"BCL2L10" "mitocarta-3"
"BCL2L11" "mitocarta-3"
"BCL2L13" "mitocarta-3"
"BCL2L2" "mitocarta-3"
"BCO2" "mitocarta-3"
"BCS1L" "both"
"BDH1" "mitocarta-3"
"BID" "both"
"BIK" "mitocarta-3"
"BLOC1S1" "mitocarta-3"
"BNIP3" "mitocarta-3"
"BNIP3L" "mitocarta-3"
"BOK" "mitocarta-3"
"BOLA1" "mitocarta-3"
"BOLA3" "mitocarta-3"
"BPHL" "mitocarta-3"
"BSG" "Co-annotation + MC-20"
"C12orf65" "mitocarta-3"
"C15orf48" "mitocarta-3"
"C15orf61" "mitocarta-3"
"C16orf91" "mitocarta-3"
"C1QBP" "mitocarta-3"
"C2orf69" "mitocarta-3"
"C3orf33" "mitocarta-3"
"C5orf63" "mitocarta-3"
"C6orf136" "mitocarta-3"
"C8orf82" "mitocarta-3"
"CA5A" "mitocarta-3"
"CA5B" "mitocarta-3"
"CAMK4" "Co-annotation + MC-20"
"CARM1" "Co-annotation + MC-20"
"CARS2" "both"
"CASP3" "mitocarta-3"
"CASP8" "mitocarta-3"
"CASP9" "mitocarta-3"
"CAT" "mitocarta-3"
"CBR3" "mitocarta-3"
"CBR4" "mitocarta-3"
"CCDC127" "mitocarta-3"
"CCDC51" "mitocarta-3"
"CCDC58" "mitocarta-3"
"CCDC90B" "mitocarta-3"
"CDK5RAP1" "mitocarta-3"
"CEP89" "mitocarta-3"
"CHCHD1" "both"
"CHCHD10" "both"
"CHCHD2" "mitocarta-3"
"CHCHD3" "both"
"CHCHD4" "both"
"CHCHD5" "mitocarta-3"
"CHCHD6" "both"
"CHCHD7" "mitocarta-3"
"CHD9" "Co-annotation + MC-20"
"CHDH" "mitocarta-3"
"CHPT1" "mitocarta-3"
"CISD1" "mitocarta-3"
"CISD3" "mitocarta-3"
"CKMT1A" "mitocarta-3"
"CKMT1B" "mitocarta-3"
"CKMT2" "mitocarta-3"
"CLPB" "mitocarta-3"
"CLPP" "mitocarta-3"
"CLPX" "mitocarta-3"
"CLYBL" "mitocarta-3"
"CMC1" "mitocarta-3"
"CMC2" "mitocarta-3"
"CMC4" "mitocarta-3"
"CMPK2" "mitocarta-3"
"COA1" "mitocarta-3"
"COA3" "mitocarta-3"
"COA4" "both"
"COA5" "mitocarta-3"
"COA6" "both"
"COA7" "mitocarta-3"
"COA8" "mitocarta-3"
"COASY" "mitocarta-3"
"COMT" "mitocarta-3"
"COMTD1" "mitocarta-3"
"COQ10A" "both"
"COQ10B" "both"
"COQ2" "both"
"COQ3" "both"
"COQ4" "both"
"COQ5" "both"
"COQ6" "both"
"COQ7" "both"
"COQ8A" "mitocarta-3"
"COQ8B" "mitocarta-3"
"COQ9" "both"
"COX1" "Co-annotation + MC-20"
"COX10" "both"
"COX11" "both"
"COX14" "both"
"COX15" "both"
"COX16" "both"
"COX17" "both"
"COX18" "both"
"COX19" "both"
"COX2" "Co-annotation + MC-20"
"COX20" "mitocarta-3"
"COX3" "Co-annotation + MC-20"
"COX4I1" "both"
"COX4I2" "both"
"COX5A" "both"
"COX5B" "both"
"COX6A1" "both"
"COX6A2" "both"
"COX6B1" "both"
"COX6B2" "both"
"COX6C" "both"
"COX6CP3" "Co-annotation + MC-20"
"COX7A1" "both"
"COX7A2" "both"
"COX7A2L" "both"
"COX7B" "both"
"COX7B2" "both"
"COX7C" "both"
"COX8A" "both"
"COX8C" "both"
"CPOX" "mitocarta-3"
"CPS1" "mitocarta-3"
"CPT1A" "mitocarta-3"
"CPT1B" "mitocarta-3"
"CPT1C" "mitocarta-3"
"CPT2" "mitocarta-3"
"CRAT" "mitocarta-3"
"CREB1" "Co-annotation + MC-20"
"CREBBP" "Co-annotation + MC-20"
"CRLS1" "mitocarta-3"
"CROT" "mitocarta-3"
"CRTC1" "Co-annotation + MC-20"
"CRTC2" "Co-annotation + MC-20"
"CRTC3" "Co-annotation + MC-20"
"CRY1" "mitocarta-3"
"CRYZ" "mitocarta-3"
"CS" "mitocarta-3"
"CSKMT" "mitocarta-3"
"CYB5B" "mitocarta-3"
"CYB5R3" "mitocarta-3"
"CYC1" "both"
"CYCS" "both"
"CYP11A1" "mitocarta-3"
"CYP11B1" "mitocarta-3"
"CYP11B2" "mitocarta-3"
"CYP24A1" "mitocarta-3"
"CYP27A1" "mitocarta-3"
"CYP27B1" "mitocarta-3"
"CYTB" "Co-annotation + MC-20"
"D2HGDH" "both"
"DAP3" "both"
"DARS2" "both"
"DBI" "both"
"DBT" "mitocarta-3"
"DCAKD" "mitocarta-3"
"DCXR" "mitocarta-3"
"DDX28" "mitocarta-3"
"DECR1" "both"
"DELE1" "mitocarta-3"
"DGLUCY" "mitocarta-3"
"DGUOK" "mitocarta-3"
"DHODH" "mitocarta-3"
"DHRS1" "mitocarta-3"
"DHRS2" "mitocarta-3"
"DHRS4" "mitocarta-3"
"DHRS7B" "mitocarta-3"
"DHTKD1" "mitocarta-3"
"DHX30" "mitocarta-3"
"DIABLO" "mitocarta-3"
"DLAT" "both"
"DLD" "both"
"DLST" "both"
"DMAC1" "mitocarta-3"
"DMAC2" "mitocarta-3"
"DMAC2L" "mitocarta-3"
"DMGDH" "mitocarta-3"
"DMPK" "mitocarta-3"
"DNA2" "mitocarta-3"
"DNAJA3" "mitocarta-3"
"DNAJC11" "both"
"DNAJC15" "mitocarta-3"
"DNAJC19" "both"
"DNAJC28" "mitocarta-3"
"DNAJC30" "mitocarta-3"
"DNAJC4" "mitocarta-3"
"DNLZ" "mitocarta-3"
"DNM1L" "mitocarta-3"
"DTYMK" "mitocarta-3"
"DUS2" "mitocarta-3"
"DUT" "mitocarta-3"
"EARS2" "both"
"ECH1" "mitocarta-3"
"ECHDC1" "mitocarta-3"
"ECHDC2" "mitocarta-3"
"ECHDC3" "mitocarta-3"
"ECHS1" "both"
"ECI1" "both"
"ECI2" "mitocarta-3"
"ECSIT" "both"
"EFHD1" "mitocarta-3"
"EHHADH" "mitocarta-3"
"ELAC2" "mitocarta-3"
"ENDOG" "mitocarta-3"
"EPHX2" "mitocarta-3"
"ERAL1" "both"
"ESRRA" "Co-annotation + MC-20"
"ETFA" "both"
"ETFB" "both"
"ETFBKMT" "mitocarta-3"
"ETFDH" "both"
"ETFRF1" "mitocarta-3"
"ETHE1" "mitocarta-3"
"EXD2" "mitocarta-3"
"EXOG" "mitocarta-3"
"FABP1" "mitocarta-3"
"FAHD1" "both"
"FAHD2A" "mitocarta-3"
"FAM136A" "mitocarta-3"
"FAM162A" "mitocarta-3"
"FAM185A" "mitocarta-3"
"FAM210A" "mitocarta-3"
"FAM210B" "mitocarta-3"
"FARS2" "both"
"FASN" "mitocarta-3"
"FASTK" "mitocarta-3"
"FASTKD1" "mitocarta-3"
"FASTKD2" "mitocarta-3"
"FASTKD3" "mitocarta-3"
"FASTKD5" "mitocarta-3"
"FBXL4" "mitocarta-3"
"FDPS" "mitocarta-3"
"FDX1" "both"
"FDX2" "mitocarta-3"
"FDXR" "both"
"FECH" "mitocarta-3"
"FH" "both"
"FHIT" "mitocarta-3"
"FIS1" "mitocarta-3"
"FKBP10" "mitocarta-3"
"FKBP8" "mitocarta-3"
"FLAD1" "mitocarta-3"
"FMC1" "mitocarta-3"
"FOXRED1" "both"
"FPGS" "mitocarta-3"
"FTH1" "mitocarta-3"
"FTMT" "mitocarta-3"
"FUNDC1" "mitocarta-3"
"FUNDC2" "mitocarta-3"
"FXN" "both"
"GABPA" "Co-annotation + MC-20"
"GADD45GIP1" "both"
"GARS1" "mitocarta-3"
"GATB" "mitocarta-3"
"GATC" "mitocarta-3"
"GATD3A" "mitocarta-3"
"GATM" "mitocarta-3"
"GCAT" "mitocarta-3"
"GCDH" "mitocarta-3"
"GCSH" "mitocarta-3"
"GDAP1" "mitocarta-3"
"GFER" "both"
"GFM1" "both"
"GFM2" "both"
"GHITM" "mitocarta-3"
"GLDC" "mitocarta-3"
"GLO1" "Co-annotation + MC-20"
"GLOD4" "mitocarta-3"
"GLRX2" "mitocarta-3"
"GLRX5" "both"
"GLS" "mitocarta-3"
"GLS2" "mitocarta-3"
"GLUD1" "both"
"GLUD2" "both"
"GLYAT" "mitocarta-3"
"GLYCTK" "mitocarta-3"
"GOLPH3" "mitocarta-3"
"GOT2" "mitocarta-3"
"GPAM" "mitocarta-3"
"GPAT2" "mitocarta-3"
"GPD2" "mitocarta-3"
"GPT2" "mitocarta-3"
"GPX1" "mitocarta-3"
"GPX4" "mitocarta-3"
"GRHPR" "mitocarta-3"
"GRPEL1" "both"
"GRPEL2" "both"
"GRSF1" "mitocarta-3"
"GSR" "mitocarta-3"
"GSTK1" "mitocarta-3"
"GSTZ1" "both"
"GTPBP10" "mitocarta-3"
"GTPBP3" "mitocarta-3"
"GTPBP6" "mitocarta-3"
"GUF1" "mitocarta-3"
"GUK1" "mitocarta-3"
"HADH" "both"
"HADHA" "both"
"HADHB" "both"
"HAGH" "mitocarta-3"
"HAO2" "mitocarta-3"
"HARS2" "both"
"HCCS" "mitocarta-3"
"HCFC1" "Co-annotation + MC-20"
"HDHD3" "mitocarta-3"
"HDHD5" "mitocarta-3"
"HEBP1" "mitocarta-3"
"HELZ2" "Co-annotation + MC-20"
"HEMK1" "mitocarta-3"
"HIBADH" "mitocarta-3"
"HIBCH" "mitocarta-3"
"HIGD1A" "mitocarta-3"
"HIGD2A" "mitocarta-3"
"HINT1" "mitocarta-3"
"HINT2" "mitocarta-3"
"HINT3" "mitocarta-3"
"HMGCL" "mitocarta-3"
"HMGCS2" "mitocarta-3"
"HOGA1" "mitocarta-3"
"HPDL" "mitocarta-3"
"HSCB" "both"
"HSD17B10" "mitocarta-3"
"HSD17B4" "mitocarta-3"
"HSD17B8" "mitocarta-3"
"HSDL1" "mitocarta-3"
"HSDL2" "mitocarta-3"
"HSPA9" "both"
"HSPD1" "mitocarta-3"
"HSPE1" "mitocarta-3"
"HTATIP2" "mitocarta-3"
"HTD2" "mitocarta-3"
"HTRA2" "mitocarta-3"
"IARS2" "both"
"IBA57" "mitocarta-3"
"IDE" "mitocarta-3"
"IDH2" "both"
"IDH3A" "both"
"IDH3B" "both"
"IDH3G" "both"
"IDI1" "mitocarta-3"
"IFI27" "mitocarta-3"
"IMMP1L" "mitocarta-3"
"IMMP2L" "mitocarta-3"
"IMMT" "both"
"ISCA1" "mitocarta-3"
"ISCA2" "both"
"ISCU" "mitocarta-3"
"ISOC2" "mitocarta-3"
"IVD" "mitocarta-3"
"KARS1" "mitocarta-3"
"KMO" "mitocarta-3"
"KYAT3" "mitocarta-3"
"L2HGDH" "both"
"LACTB" "mitocarta-3"
"LACTB2" "mitocarta-3"
"LAP3" "mitocarta-3"
"LARS2" "both"
"LDHA" "Co-annotation + MC-20"
"LDHAL6B" "both"
"LDHB" "both"
"LDHC" "Co-annotation + MC-20"
"LDHD" "both"
"LETM1" "both"
"LETM2" "mitocarta-3"
"LETMD1" "mitocarta-3"
"LHPP" "Co-annotation + MC-20"
"LIAS" "mitocarta-3"
"LIG3" "mitocarta-3"
"LIPT1" "mitocarta-3"
"LIPT2" "mitocarta-3"
"LOC100133737" "Co-annotation + MC-20"
"LOC642502" "Co-annotation + MC-20"
"LOC644310" "Co-annotation + MC-20"
"LOC651820" "Co-annotation + MC-20"
"LOC727947" "Co-annotation + MC-20"
"LONP1" "mitocarta-3"
"LRPPRC" "both"
"LYPLA1" "mitocarta-3"
"LYPLAL1" "mitocarta-3"
"LYRM1" "mitocarta-3"
"LYRM2" "mitocarta-3"
"LYRM4" "mitocarta-3"
"LYRM7" "mitocarta-3"
"LYRM9" "mitocarta-3"
"MACROD1" "mitocarta-3"
"MAIP1" "mitocarta-3"
"MALSU1" "mitocarta-3"
"MAOA" "mitocarta-3"
"MAOB" "mitocarta-3"
"MAPK11" "Co-annotation + MC-20"
"MAPK12" "Co-annotation + MC-20"
"MAPK14" "Co-annotation + MC-20"
"MARCHF5" "mitocarta-3"
"MARS2" "both"
"MAVS" "mitocarta-3"
"MCAT" "both"
"MCCC1" "mitocarta-3"
"MCCC2" "mitocarta-3"
"MCCD1" "mitocarta-3"
"MCEE" "both"
"MCL1" "mitocarta-3"
"MCRIP2" "mitocarta-3"
"MCU" "both"
"MCUB" "mitocarta-3"
"MCUR1" "mitocarta-3"
"MDH2" "both"
"ME1" "Co-annotation + MC-20"
"ME2" "both"
"ME3" "both"
"MECR" "both"
"MED1" "Co-annotation + MC-20"
"MEF2C" "Co-annotation + MC-20"
"MEF2D" "Co-annotation + MC-20"
"METAP1D" "mitocarta-3"
"METTL15" "mitocarta-3"
"METTL17" "mitocarta-3"
"METTL4" "mitocarta-3"
"METTL5" "mitocarta-3"
"METTL8" "mitocarta-3"
"MFF" "mitocarta-3"
"MFN1" "mitocarta-3"
"MFN2" "mitocarta-3"
"MGARP" "mitocarta-3"
"MGME1" "mitocarta-3"
"MGST1" "mitocarta-3"
"MGST3" "mitocarta-3"
"MICOS10" "mitocarta-3"
"MICOS13" "mitocarta-3"
"MICU1" "both"
"MICU2" "both"
"MICU3" "both"
"MIEF1" "mitocarta-3"
"MIEF2" "mitocarta-3"
"MIGA1" "mitocarta-3"
"MIGA2" "mitocarta-3"
"MIPEP" "mitocarta-3"
"MLYCD" "mitocarta-3"
"MMAA" "both"
"MMAB" "mitocarta-3"
"MMADHC" "mitocarta-3"
"MMUT" "mitocarta-3"
"MOCS1" "mitocarta-3"
"MPC1" "mitocarta-3"
"MPC1L" "mitocarta-3"
"MPC2" "both"
"MPST" "mitocarta-3"
"MPV17" "mitocarta-3"
"MPV17L" "mitocarta-3"
"MPV17L2" "mitocarta-3"
"MRM1" "mitocarta-3"
"MRM2" "mitocarta-3"
"MRM3" "mitocarta-3"
"MRPL1" "both"
"MRPL10" "both"
"MRPL11" "both"
"MRPL12" "both"
"MRPL13" "both"
"MRPL14" "both"
"MRPL15" "both"
"MRPL16" "both"
"MRPL17" "both"
"MRPL18" "both"
"MRPL19" "both"
"MRPL2" "both"
"MRPL20" "both"
"MRPL21" "both"
"MRPL22" "both"
"MRPL23" "both"
"MRPL24" "both"
"MRPL27" "both"
"MRPL28" "both"
"MRPL3" "both"
"MRPL30" "both"
"MRPL32" "both"
"MRPL33" "both"
"MRPL34" "both"
"MRPL35" "both"
"MRPL36" "both"
"MRPL37" "both"
"MRPL38" "both"
"MRPL39" "both"
"MRPL4" "both"
"MRPL40" "both"
"MRPL41" "both"
"MRPL42" "both"
"MRPL43" "both"
"MRPL44" "both"
"MRPL45" "both"
"MRPL46" "both"
"MRPL47" "both"
"MRPL48" "both"
"MRPL49" "both"
"MRPL50" "both"
"MRPL51" "both"
"MRPL52" "both"
"MRPL53" "both"
"MRPL54" "both"
"MRPL55" "both"
"MRPL57" "mitocarta-3"
"MRPL58" "mitocarta-3"
"MRPL9" "both"
"MRPS10" "both"
"MRPS11" "both"
"MRPS12" "both"
"MRPS14" "both"
"MRPS15" "both"
"MRPS16" "both"
"MRPS17" "both"
"MRPS18A" "both"
"MRPS18B" "both"
"MRPS18C" "both"
"MRPS2" "both"
"MRPS21" "both"
"MRPS22" "both"
"MRPS23" "both"
"MRPS24" "both"
"MRPS25" "both"
"MRPS26" "both"
"MRPS27" "both"
"MRPS28" "both"
"MRPS30" "both"
"MRPS31" "both"
"MRPS33" "both"
"MRPS34" "both"
"MRPS35" "both"
"MRPS36" "mitocarta-3"
"MRPS5" "both"
"MRPS6" "both"
"MRPS7" "both"
"MRPS9" "both"
"MRRF" "both"
"MRS2" "mitocarta-3"
"MSRA" "mitocarta-3"
"MSRB2" "mitocarta-3"
"MSRB3" "mitocarta-3"
"MT-ATP6" "mitocarta-3"
"MT-ATP8" "mitocarta-3"
"MT-CO1" "mitocarta-3"
"MT-CO2" "mitocarta-3"
"MT-CO3" "mitocarta-3"
"MT-CYB" "mitocarta-3"
"MT-ND1" "mitocarta-3"
"MT-ND2" "mitocarta-3"
"MT-ND3" "mitocarta-3"
"MT-ND4" "mitocarta-3"
"MT-ND4L" "mitocarta-3"
"MT-ND5" "mitocarta-3"
"MT-ND6" "mitocarta-3"
"MTARC1" "mitocarta-3"
"MTARC2" "mitocarta-3"
"MTCH1" "mitocarta-3"
"MTCH2" "mitocarta-3"
"MTERF1" "mitocarta-3"
"MTERF2" "mitocarta-3"
"MTERF3" "mitocarta-3"
"MTERF4" "mitocarta-3"
"MTFMT" "both"
"MTFP1" "mitocarta-3"
"MTFR1" "mitocarta-3"
"MTFR1L" "mitocarta-3"
"MTFR2" "mitocarta-3"
"MTG1" "mitocarta-3"
"MTG2" "mitocarta-3"
"MTHFD1L" "mitocarta-3"
"MTHFD2" "mitocarta-3"
"MTHFD2L" "mitocarta-3"
"MTHFS" "mitocarta-3"
"MTIF2" "both"
"MTIF3" "both"
"MTND5P10" "Co-annotation + MC-20"
"MTO1" "mitocarta-3"
"MTPAP" "mitocarta-3"
"MTRES1" "mitocarta-3"
"MTRF1" "mitocarta-3"
"MTRF1L" "both"
"MTX1" "both"
"MTX2" "both"
"MTX3" "mitocarta-3"
"MUL1" "mitocarta-3"
"MUTYH" "mitocarta-3"
"MYG1" "mitocarta-3"
"MYO19" "mitocarta-3"
"NADK2" "mitocarta-3"
"NAGS" "mitocarta-3"
"NARS2" "both"
"NAT8L" "mitocarta-3"
"NAXD" "mitocarta-3"
"NAXE" "mitocarta-3"
"NBR1" "mitocarta-3"
