"gene" "mitochondrial_source"
"PAICS" "mitocarta-3"
"PAM16" "mitocarta-3"
"PANK2" "mitocarta-3"
"PARK7" "mitocarta-3"
"PARL" "both"
"PARS2" "both"
"PC" "mitocarta-3"
"PCBD2" "mitocarta-3"
"PCCA" "both"
"PCCB" "both"
"PCK2" "mitocarta-3"
"PCTP" "Co-annotation + MC-20"
"PDE12" "mitocarta-3"
"PDE2A" "mitocarta-3"
"PDF" "mitocarta-3"
"PDHA1" "both"
"PDHA2" "both"
"PDHB" "both"
"PDHX" "both"
"PDK1" "both"
"PDK2" "both"
"PDK3" "both"
"PDK4" "both"
"PDP1" "both"
"PDP2" "both"
"PDPR" "both"
"PDSS1" "mitocarta-3"
"PDSS2" "mitocarta-3"
"PET100" "mitocarta-3"
"PET117" "both"
"PEX11B" "mitocarta-3"
"PGAM5" "mitocarta-3"
"PGS1" "mitocarta-3"
"PHB" "both"
"PHB2" "both"
"PHYH" "mitocarta-3"
"PICK1" "mitocarta-3"
"PIF1" "mitocarta-3"
"PIGBOS1" "mitocarta-3"
"PINK1" "mitocarta-3"
"PISD" "mitocarta-3"
"PITRM1" "both"
"PLD6" "mitocarta-3"
"PLGRKT" "mitocarta-3"
"PLPBP" "mitocarta-3"
"PLSCR3" "mitocarta-3"
"PM20D1" "Co-annotation + MC-20"
"PMAIP1" "mitocarta-3"
"PMPCA" "both"
"PMPCB" "both"
"PNKD" "mitocarta-3"
"PNPLA8" "mitocarta-3"
"PNPO" "mitocarta-3"
"PNPT1" "mitocarta-3"
"POLB" "mitocarta-3"
"POLDIP2" "mitocarta-3"
"POLG" "mitocarta-3"
"POLG2" "both"
"POLQ" "mitocarta-3"
"POLRMT" "both"
"PPA1" "Co-annotation + MC-20"
"PPA2" "both"
"PPARA" "Co-annotation + MC-20"
"PPARD" "Co-annotation + MC-20"
"PPARGC1A" "Co-annotation + MC-20"
"PPARGC1B" "Co-annotation + MC-20"
"PPIF" "mitocarta-3"
"PPM1K" "mitocarta-3"
"PPOX" "mitocarta-3"
"PPP3CC" "Co-annotation + MC-20"
"PPP3R1" "Co-annotation + MC-20"
"PPRC1" "Co-annotation + MC-20"
"PPTC7" "mitocarta-3"
"PRDX2" "mitocarta-3"
"PRDX3" "mitocarta-3"
"PRDX4" "mitocarta-3"
"PRDX5" "mitocarta-3"
"PRDX6" "mitocarta-3"
"PRELID1" "mitocarta-3"
"PRELID2" "mitocarta-3"
"PRELID3A" "mitocarta-3"
"PRELID3B" "mitocarta-3"
"PREPL" "mitocarta-3"
"PRIMPOL" "mitocarta-3"
"PRKAA2" "Co-annotation + MC-20"
"PRKAB1" "Co-annotation + MC-20"
"PRKAB2" "Co-annotation + MC-20"
"PRKACA" "mitocarta-3"
"PRKAG2" "Co-annotation + MC-20"
"PRKAG3" "Co-annotation + MC-20"
"PRKN" "mitocarta-3"
"PRODH" "mitocarta-3"
"PRODH2" "mitocarta-3"
"PRORP" "mitocarta-3"
"PRSS35" "mitocarta-3"
"PRXL2A" "mitocarta-3"
"PTCD1" "mitocarta-3"
"PTCD2" "mitocarta-3"
"PTCD3" "both"
"PTGES2" "mitocarta-3"
"PTPMT1" "mitocarta-3"
"PTRH1" "mitocarta-3"
"PTRH2" "mitocarta-3"
"PUS1" "mitocarta-3"
"PUSL1" "mitocarta-3"
"PXMP2" "mitocarta-3"
"PXMP4" "mitocarta-3"
"PYCR1" "mitocarta-3"
"PYCR2" "mitocarta-3"
"PYURF" "mitocarta-3"
"QDPR" "mitocarta-3"
"QRSL1" "mitocarta-3"
"QTRT1" "mitocarta-3"
"RAB24" "mitocarta-3"
"RAB5IF" "mitocarta-3"
"RARS2" "both"
"RBFA" "mitocarta-3"
"RCC1L" "mitocarta-3"
"RDH13" "mitocarta-3"
"RDH14" "mitocarta-3"
"RECQL4" "mitocarta-3"
"REXO2" "mitocarta-3"
"RFK" "mitocarta-3"
"RHOT1" "mitocarta-3"
"RHOT2" "mitocarta-3"
"RIDA" "mitocarta-3"
"RMDN1" "mitocarta-3"
"RMDN3" "mitocarta-3"
"RMND1" "mitocarta-3"
"RNASEH1" "mitocarta-3"
"ROMO1" "mitocarta-3"
"RP11_469A15.2" "mitocarta-3"
"RPIA" "mitocarta-3"
"RPUSD3" "mitocarta-3"
"RPUSD4" "mitocarta-3"
"RSAD1" "mitocarta-3"
"RTL10" "mitocarta-3"
"RTN4IP1" "mitocarta-3"
"RXRA" "Co-annotation + MC-20"
"SAMM50" "both"
"SARDH" "mitocarta-3"
"SARS2" "both"
"SCO1" "both"
"SCO2" "both"
"SCP2" "mitocarta-3"
"SDHA" "both"
"SDHAF1" "mitocarta-3"
"SDHAF2" "mitocarta-3"
"SDHAF3" "mitocarta-3"
"SDHAF4" "mitocarta-3"
"SDHB" "both"
"SDHC" "both"
"SDHD" "both"
"SDR39U1" "mitocarta-3"
"SDSL" "mitocarta-3"
"SELENOO" "mitocarta-3"
"SEPTIN4" "mitocarta-3"
"SERAC1" "mitocarta-3"
"SERHL2" "mitocarta-3"
"SETD9" "mitocarta-3"
"SFN" "Co-annotation + MC-20"
"SFXN1" "mitocarta-3"
"SFXN2" "mitocarta-3"
"SFXN3" "mitocarta-3"
"SFXN4" "mitocarta-3"
"SFXN5" "mitocarta-3"
"SHMT2" "mitocarta-3"
"SIRT3" "both"
"SIRT4" "both"
"SIRT5" "both"
"SLC16A3" "Co-annotation + MC-20"
"SLC16A8" "Co-annotation + MC-20"
"SLC25A1" "mitocarta-3"
"SLC25A10" "mitocarta-3"
"SLC25A11" "mitocarta-3"
"SLC25A12" "both"
"SLC25A13" "both"
"SLC25A14" "both"
"SLC25A15" "mitocarta-3"
"SLC25A16" "mitocarta-3"
"SLC25A18" "mitocarta-3"
"SLC25A19" "mitocarta-3"
"SLC25A20" "mitocarta-3"
"SLC25A21" "mitocarta-3"
"SLC25A22" "mitocarta-3"
"SLC25A23" "mitocarta-3"
"SLC25A24" "mitocarta-3"
"SLC25A25" "mitocarta-3"
"SLC25A26" "mitocarta-3"
"SLC25A27" "both"
"SLC25A28" "both"
"SLC25A29" "mitocarta-3"
"SLC25A3" "mitocarta-3"
"SLC25A30" "mitocarta-3"
"SLC25A31" "mitocarta-3"
"SLC25A32" "mitocarta-3"
"SLC25A33" "mitocarta-3"
"SLC25A34" "mitocarta-3"
"SLC25A35" "mitocarta-3"
"SLC25A36" "mitocarta-3"
"SLC25A37" "both"
"SLC25A38" "mitocarta-3"
"SLC25A39" "mitocarta-3"
"SLC25A4" "both"
"SLC25A40" "mitocarta-3"
"SLC25A41" "mitocarta-3"
"SLC25A42" "mitocarta-3"
"SLC25A43" "mitocarta-3"
"SLC25A44" "mitocarta-3"
"SLC25A45" "mitocarta-3"
"SLC25A46" "mitocarta-3"
"SLC25A47" "mitocarta-3"
"SLC25A48" "mitocarta-3"
"SLC25A5" "mitocarta-3"
"SLC25A51" "mitocarta-3"
"SLC25A52" "mitocarta-3"
"SLC25A53" "mitocarta-3"
"SLC25A6" "mitocarta-3"
"SLC30A9" "mitocarta-3"
"SLC8A3" "Co-annotation + MC-20"
"SLC8B1" "both"
"SLIRP" "mitocarta-3"
"SMARCD3" "Co-annotation + MC-20"
"SMDT1" "both"
"SMIM20" "mitocarta-3"
"SMIM8" "mitocarta-3"
"SNAP29" "mitocarta-3"
"SND1" "mitocarta-3"
"SOD1" "mitocarta-3"
"SOD2" "both"
"SPATA19" "mitocarta-3"
"SPATA20" "mitocarta-3"
"SPG7" "both"
"SPHK2" "mitocarta-3"
"SPHKAP" "mitocarta-3"
"SPIRE1" "mitocarta-3"
"SPR" "mitocarta-3"
"SPRYD4" "mitocarta-3"
"SPTLC2" "mitocarta-3"
"SQOR" "mitocarta-3"
"SSBP1" "both"
"STAR" "mitocarta-3"
"STARD7" "mitocarta-3"
"STOM" "mitocarta-3"
"STOML2" "both"
"STX17" "mitocarta-3"
"STYXL1" "mitocarta-3"
"SUCLA2" "both"
"SUCLG1" "both"
"SUCLG2" "both"
"SUGCT" "mitocarta-3"
"SUOX" "mitocarta-3"
"SUPV3L1" "mitocarta-3"
"SURF1" "both"
"SYNJ2BP" "mitocarta-3"
"TACO1" "both"
"TAMM41" "mitocarta-3"
"TARS2" "both"
"TAZ" "both"
"TBL1X" "Co-annotation + MC-20"
"TBL1XR1" "Co-annotation + MC-20"
"TBRG4" "mitocarta-3"
"TCAIM" "mitocarta-3"
"TCIRG1" "Co-annotation + MC-20"
"TDRKH" "mitocarta-3"
"TEFM" "mitocarta-3"
"TFAM" "both"
"TFB1M" "both"
"TFB2M" "both"
"TGS1" "Co-annotation + MC-20"
"THEM4" "both"
"THEM5" "both"
"THG1L" "mitocarta-3"
"THNSL1" "mitocarta-3"
"TIMM10" "both"
"TIMM10B" "both"
"TIMM13" "both"
"TIMM17A" "both"
"TIMM17B" "both"
"TIMM21" "both"
"TIMM22" "both"
"TIMM23" "both"
"TIMM29" "mitocarta-3"
"TIMM44" "both"
"TIMM50" "both"
"TIMM8A" "mitocarta-3"
"TIMM8B" "both"
"TIMM9" "both"
"TIMMDC1" "both"
"TK2" "mitocarta-3"
"TMEM11" "both"
"TMEM126A" "mitocarta-3"
"TMEM126B" "both"
"TMEM143" "mitocarta-3"
"TMEM14C" "mitocarta-3"
"TMEM177" "mitocarta-3"
"TMEM186" "mitocarta-3"
"TMEM205" "mitocarta-3"
"TMEM65" "mitocarta-3"
"TMEM70" "mitocarta-3"
"TMLHE" "mitocarta-3"
"TOMM20" "both"
"TOMM20L" "mitocarta-3"
"TOMM22" "both"
"TOMM34" "mitocarta-3"
"TOMM40" "both"
"TOMM40L" "mitocarta-3"
"TOMM5" "both"
"TOMM6" "both"
"TOMM7" "both"
"TOMM70" "mitocarta-3"
"TOP1MT" "mitocarta-3"
"TOP3A" "mitocarta-3"
"TRAP1" "both"
"TRIAP1" "mitocarta-3"
"TRIT1" "mitocarta-3"
"TRMT1" "mitocarta-3"
"TRMT10C" "mitocarta-3"
"TRMT2B" "mitocarta-3"
"TRMT5" "mitocarta-3"
"TRMT61B" "mitocarta-3"
"TRMU" "mitocarta-3"
"TRNT1" "mitocarta-3"
"TRUB2" "mitocarta-3"
"TSFM" "both"
"TSPO" "mitocarta-3"
"TST" "mitocarta-3"
"TSTD1" "mitocarta-3"
"TSTD3" "mitocarta-3"
"TTC19" "mitocarta-3"
"TUFM" "both"
"TWNK" "mitocarta-3"
"TXN2" "mitocarta-3"
"TXNRD1" "mitocarta-3"
"TXNRD2" "mitocarta-3"
"UCP1" "both"
"UCP2" "both"
"UCP3" "both"
"UNG" "mitocarta-3"
"UQCC1" "both"
"UQCC2" "both"
"UQCC3" "mitocarta-3"
"UQCR10" "both"
"UQCR11" "both"
"UQCRB" "both"
"UQCRBP1" "Co-annotation + MC-20"
"UQCRC1" "both"
"UQCRC2" "both"
"UQCRFS1" "both"
"UQCRH" "both"
"UQCRHL" "Co-annotation + MC-20"
"UQCRQ" "both"
"USP30" "mitocarta-3"
"VARS2" "both"
"VDAC1" "both"
"VDAC2" "both"
"VDAC3" "both"
"VPS13D" "mitocarta-3"
"VWA8" "mitocarta-3"
"WARS2" "both"
"XPNPEP3" "mitocarta-3"
"YARS2" "both"
"YBEY" "mitocarta-3"
"YME1L1" "both"
"YRDC" "mitocarta-3"
"YWHAB" "Co-annotation + MC-20"
"YWHAE" "Co-annotation + MC-20"
"YWHAG" "Co-annotation + MC-20"
"YWHAH" "Co-annotation + MC-20"
"YWHAQ" "Co-annotation + MC-20"
"ZADH2" "mitocarta-3"
